"S.NO.","STATE","DISTRICT","STATION","TYPE","DATE.YYYY.MM.DD.","TIME.UTC.","RAINFALL.DAILY.CUMULATIVE..0.5.mm.or.more.","Latitude","Longitude","Elevation"
1,"UTTARAKHAND","ALMORA","ALMORA_UKG","AWS","01-07-2023","03:00:00",11,29.6,79.665,1568.49
2,"UTTARAKHAND","ALMORA","BHAINSIYA CHHANA _UKG","AWS","01-07-2023","03:00:00",5.5,29.7,79.883,776.36
3,"UTTARAKHAND","ALMORA","BHIKIYASAIN_UKG","AWS","01-07-2023","03:00:00",0.5,29.696,79.269,896.71
4,"UTTARAKHAND","ALMORA","CHAUKHUTIYA_UKG","AWS","01-07-2023","03:00:00",2.5,29.884,79.35,968.83
5,"UTTARAKHAND","ALMORA","DWARHAT_UKG","AWS","01-07-2023","03:00:00",5.5,29.78,79.432,1386.47
6,"UTTARAKHAND","ALMORA","JAGESHWAR_UKG","AWS","01-07-2023","03:00:00",18,29.638,79.853,1803.99
7,"UTTARAKHAND","ALMORA","SITLAKHET_UKG","AWS","01-07-2023","03:00:00",11.5,29.594,79.544,1820.6
8,"UTTARAKHAND","ALMORA","SULT_UKG","AWS","01-07-2023","03:00:00",1.5,29.689,79.158,1539.87
9,"UTTARAKHAND","BAGESHWAR","BAGESHWAR_UKG","AWS","01-07-2023","03:00:00",9.5,29.838,79.764,909.69
10,"UTTARAKHAND","BAGESHWAR","GARUD_UKG","AWS","01-07-2023","03:00:00",7.5,29.896,79.613,1149.57
11,"UTTARAKHAND","BAGESHWAR","KANDA_UKG","AWS","01-07-2023","03:00:00",26,29.971,79.98,1600.18
12,"UTTARAKHAND","BAGESHWAR","KOSANI_UKG","AWS","01-07-2023","03:00:00",3,29.851,79.594,1809.06
13,"UTTARAKHAND","BAGESHWAR","SONG_UKG","AWS","01-07-2023","03:00:00",29,30.039,79.952,1596.07
14,"UTTARAKHAND","CHAMOLI","CHAMOLI","AWS","01-07-2023","03:00:00",0.5,30.4,79.317,1212.67
15,"UTTARAKHAND","CHAMOLI","DEWAL_UKG","AWS","01-07-2023","03:00:00",22,30.076,79.482,1511.13
16,"UTTARAKHAND","CHAMOLI","GHAT_UKG","AWS","01-07-2023","03:00:00",24,30.256,79.454,1658.17
17,"UTTARAKHAND","CHAMOLI","GOCHAR_UKG","AWS","01-07-2023","03:00:00",1,30.292,79.156,769.55
18,"UTTARAKHAND","CHAMOLI","JOSHIMATH","AWS","01-07-2023","03:00:00",2,30.55,79.567,2091.08
19,"UTTARAKHAND","CHAMOLI","KARNAPRAYAG_UKG","AWS","01-07-2023","03:00:00",4,30.259,79.218,770.17
20,"UTTARAKHAND","CHAMOLI","PANDUKESHWAR_UKG","AWS","01-07-2023","03:00:00",1.5,30.625,79.556,1824.41
21,"UTTARAKHAND","CHAMOLI","TAPOVAN_UKG","AWS","01-07-2023","03:00:00",4.5,30.493,79.632,1858.24
22,"UTTARAKHAND","CHAMOLI","THARALI_UKG","AWS","01-07-2023","03:00:00",8.5,30.15,79.409,1496.86
23,"UTTARAKHAND","CHAMPAWAT","CHALTHI_UKG","AWS","01-07-2023","03:00:00",43,29.197,80.09,718.12
24,"UTTARAKHAND","CHAMPAWAT","CHAMPAWAT","AWS","01-07-2023","03:00:00",48,29.34,80.09,1588.56
25,"UTTARAKHAND","CHAMPAWAT","CHAMPAWAT_UKG","AWS","01-07-2023","03:00:00",50.5,29.336,80.092,1648.71
26,"UTTARAKHAND","CHAMPAWAT","DEVIDHURA_UKG","AWS","01-07-2023","03:00:00",2,29.412,79.865,2017.72
27,"UTTARAKHAND","CHAMPAWAT","LOHAGHAT_UKG","AWS","01-07-2023","03:00:00",27.5,29.404,79.937,1650.32
28,"UTTARAKHAND","CHAMPAWAT","PANCHESHWAR_UKG","AWS","01-07-2023","03:00:00",37.5,29.447,80.243,546.73
29,"UTTARAKHAND","CHAMPAWAT","PATI _UKG","AWS","01-07-2023","03:00:00",9.5,29.404,79.937,1650.32
30,"UTTARAKHAND","CHAMPAWAT","TANAKPUR_UKG","AWS","01-07-2023","03:00:00",87.5,29.073,80.112,261.62
31,"UTTARAKHAND","DEHRADUN","JOLLYGRANT","AWS","01-07-2023","03:00:00",1.5,30.19,78.18,552.49
32,"UTTARAKHAND","DEHRADUN","KALSI _UKG","AWS","01-07-2023","03:00:00",3,30.539,77.852,877.17
33,"UTTARAKHAND","DEHRADUN","KOTI_UKG","AWS","01-07-2023","03:00:00",0.5,30.61,77.782,819.01
34,"UTTARAKHAND","DEHRADUN","MASSOURI","AWS","01-07-2023","03:00:00",4.5,30.48,78.05,1724.85
35,"UTTARAKHAND","DEHRADUN","NAGTHAT_UKG","AWS","01-07-2023","03:00:00",37,30.574,77.97,1880.58
36,"UTTARAKHAND","DEHRADUN","RAIWALA_UKG","AWS","01-07-2023","03:00:00",0.5,30.014,78.191,379.32
37,"UTTARAKHAND","DEHRADUN","UCOST_UKG","AWS","01-07-2023","03:00:00",6.5,30.337,77.92,547.83
38,"UTTARAKHAND","HARIDWAR","BHAGWANPUR _UKG","AWS","01-07-2023","03:00:00",0.5,29.805,77.911,267.9
39,"UTTARAKHAND","HARIDWAR","DHANAURI","AWS","01-07-2023","03:00:00",35,29.93,77.97,270.24
40,"UTTARAKHAND","HARIDWAR","KHANPUR_UKG","AWS","01-07-2023","03:00:00",7.5,29.653,78.025,230.8
41,"UTTARAKHAND","HARIDWAR","LAKSAR_UKG","AWS","01-07-2023","03:00:00",54,29.75,78.023,238.69
42,"UTTARAKHAND","HARIDWAR","NARSAN_UKG","AWS","01-07-2023","03:00:00",6,29.787,77.857,265.66
43,"UTTARAKHAND","HARIDWAR","ROORKEE_AMFU","AWS","01-07-2023","03:00:00",22.5,29.84,77.92,269.06
44,"UTTARAKHAND","NAINITAL","BETALGHAT_UKG","AWS","01-07-2023","03:00:00",10,29.552,79.353,855.72
45,"UTTARAKHAND","NAINITAL","HALDWANI_UKG","AWS","01-07-2023","03:00:00",13,29.212,79.532,435.82
46,"UTTARAKHAND","NAINITAL","KALADHUNGI_UKG","AWS","01-07-2023","03:00:00",4.5,29.329,79.51,885.66
47,"UTTARAKHAND","NAINITAL","MUKTESHWAR","AWS","01-07-2023","03:00:00",20,29.467,79.65,2227.11
48,"UTTARAKHAND","NAINITAL","NAINITAL_UKG","AWS","01-07-2023","03:00:00",62,29.387,79.452,2103.04
49,"UTTARAKHAND","NAINITAL","RAMNAGAR_UKG","AWS","01-07-2023","03:00:00",5,29.396,79.136,352.71
50,"UTTARAKHAND","PAURI_GARHWAL","BHARSAR","AWS","01-07-2023","03:00:00",39.5,30.05,79,2367.47
51,"UTTARAKHAND","PAURI_GARHWAL","LALDHANG_UKG","AWS","01-07-2023","03:00:00",20,29.852,78.316,375.22
52,"UTTARAKHAND","PAURI_GARHWAL","LANSDOWN_UKG","AWS","01-07-2023","03:00:00",65,29.84,78.686,1740.53
53,"UTTARAKHAND","PAURI_GARHWAL","NAINIDANDA_UKG","AWS","01-07-2023","03:00:00",19.5,29.738,79.013,1696.15
54,"UTTARAKHAND","PAURI_GARHWAL","PARPUNDA KHAL_UKG","AWS","01-07-2023","02:45:00",10.5,30.114,78.681,1228.34
55,"UTTARAKHAND","PAURI_GARHWAL","PAURI_UKG","AWS","01-07-2023","03:00:00",9,30.153,78.769,1744.82
56,"UTTARAKHAND","PAURI_GARHWAL","RIKHNIKHAL_UKG","AWS","01-07-2023","03:00:00",19.5,29.772,78.874,1406.79
57,"UTTARAKHAND","PAURI_GARHWAL","RISHIKESH (NEELKANTH) _UKG","AWS","01-07-2023","02:45:00",0.5,30.081,78.341,941.12
58,"UTTARAKHAND","PAURI_GARHWAL","SATPULI_UKG","AWS","01-07-2023","03:00:00",8.5,29.918,78.71,600.86
59,"UTTARAKHAND","PAURI_GARHWAL","SRINAGAR_UKG","AWS","01-07-2023","03:00:00",0.5,30.224,78.788,571.96
60,"UTTARAKHAND","PAURI_GARHWAL","SYUNSI _UKG","AWS","01-07-2023","03:00:00",44,29.893,79.026,1286.39
61,"UTTARAKHAND","PAURI_GARHWAL","THAILISAIN_UKG","AWS","01-07-2023","03:00:00",10.5,30.021,79.048,1697.8
62,"UTTARAKHAND","PAURI_GARHWAL","YAMKESHWAR_UKG","AWS","01-07-2023","03:00:00",14,29.978,78.419,928.25
63,"UTTARAKHAND","PITHORAGARH","DIDIHAT_UKG","AWS","01-07-2023","03:00:00",0.5,29.802,80.263,1518.11
64,"UTTARAKHAND","PITHORAGARH","GANGOLIHAT_UKG","AWS","01-07-2023","03:00:00",17.5,29.658,80.042,1707.25
65,"UTTARAKHAND","PITHORAGARH","JAULJIBI_UKG","AWS","01-07-2023","03:00:00",0.5,29.754,80.373,652.62
66,"UTTARAKHAND","PITHORAGARH","KANALICHHINA_UKG","AWS","01-07-2023","03:00:00",2.5,29.676,80.271,1613.62
67,"UTTARAKHAND","RUDRAPRAYAG","AGASTYAMUNI_UKG","AWS","01-07-2023","03:00:00",4,30.389,79.023,818.35
68,"UTTARAKHAND","RUDRAPRAYAG","JAKHOLI_UKG","AWS","01-07-2023","03:00:00",18.5,30.352,78.945,1201.96
69,"UTTARAKHAND","RUDRAPRAYAG","SONEPRAYAG_UKG","AWS","01-07-2023","03:00:00",10.5,30.636,79,1761.61
70,"UTTARAKHAND","RUDRAPRAYAG","UKHIMATH_UKG","AWS","01-07-2023","03:00:00",4,30.518,79.1,1486.65
71,"UTTARAKHAND","TEHRI_GARHWAL","CHANDRA BADNI_UKG","AWS","01-07-2023","03:00:00",42,30.294,78.611,1865.03
72,"UTTARAKHAND","TEHRI_GARHWAL","DHANOLTI_UKG","AWS","01-07-2023","02:30:00",35,30.425,78.247,2237.57
73,"UTTARAKHAND","TEHRI_GARHWAL","KANATAL_UKG","AWS","01-07-2023","03:00:00",11,30.417,78.322,2419.69
74,"UTTARAKHAND","TEHRI_GARHWAL","KIRTINAGAR_UKG","AWS","01-07-2023","03:00:00",4,30.215,78.747,586.74
75,"UTTARAKHAND","TEHRI_GARHWAL","NAINBAGH_UKG","AWS","01-07-2023","03:00:00",7.5,30.566,78.008,1034.83
76,"UTTARAKHAND","TEHRI_GARHWAL","RANI_CHAWRI","AWS","01-07-2023","03:00:00",12,30.2,78.517,1777.36
77,"UTTARAKHAND","UDHAM_SINGH_NAGAR","BAJPUR_UKG","AWS","01-07-2023","03:00:00",22,29.135,79.122,220.21
78,"UTTARAKHAND","UDHAM_SINGH_NAGAR","KASHIPUR_UKG","AWS","01-07-2023","03:00:00",3,29.211,78.962,236.27
79,"UTTARAKHAND","UDHAM_SINGH_NAGAR","KHATIMA_UKG","AWS","01-07-2023","03:00:00",93,28.883,79.921,222.96
80,"UTTARAKHAND","UDHAM_SINGH_NAGAR","PANTNAGAR_AMFU","AWS","01-07-2023","03:00:00",4.5,29.02,79.48,228.24
81,"UTTARAKHAND","UTTARKASHI","BARKOT_UKG","AWS","01-07-2023","03:00:00",3.5,30.811,78.214,1271.53
82,"UTTARAKHAND","UTTARKASHI","CHINYALISAUR_UKG","AWS","01-07-2023","03:00:00",0.5,30.577,78.33,833.61
83,"UTTARAKHAND","UTTARKASHI","DUNDA_UKG","AWS","01-07-2023","03:00:00",13,30.705,78.348,980.28
84,"UTTARAKHAND","UTTARKASHI","HARSIL _UKG","AWS","01-07-2023","03:00:00",1.5,31.037,78.755,2532.74
85,"UTTARAKHAND","UTTARKASHI","MORI _UKG","AWS","01-07-2023","03:00:00",3,31.021,78.047,1270.74
86,"UTTARAKHAND","UTTARKASHI","PUROLA","AWS","01-07-2023","03:00:00",2,30.86,78,2567.22
87,"UTTARAKHAND","UTTARKASHI","RAJGARHI_UKG","AWS","01-07-2023","03:00:00",1,30.84,78.241,1728.98
88,"UTTARAKHAND","UTTARKASHI","UTTAR_KASHI","AWS","01-07-2023","03:00:00",19,30.72,78.43,1319.14
